PAYROLL,COMPONENT,GL,BRANCH,AMOUNT(SLL)
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"KOIDU BRANCH",460000.00
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"MOYAMBA BRANCH",240000.00
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"PUJEHUN BRANCH",300000.00
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"CONGO CROSS BRANCH",1200000.00
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"MAKENI BRANCH",660000.00
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"CHARLOTTE STREET BRANCH",580000.00
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"KABALA BRANCH",260000.00
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"KAILAHUN BRANCH",280000.00
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"WILKINSON ROAD BRANCH",420000.00
"January 2022 Salary - Permanent Staff","Medical Scheme",143000000016,"JUBA BRANCH",720000.00
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"HEAD OFFICE",160225704.64
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"SIAKA STEVENS STREET BRANCH",55516449.04
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"CLOCK TOWER BRANCH",7441067.62
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"BO BRANCH",17998312.88
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"KENEMA BRANCH",7430431.14
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"WELLINGTON BRANCH",8163753.38
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"WILBERFORCE STREET BRANCH",6477578.24
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"KOIDU BRANCH",5973292.66
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"MOYAMBA BRANCH",3458458.02
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"PUJEHUN BRANCH",4918499.40
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"CONGO CROSS BRANCH",18516940.60
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"MAKENI BRANCH",7417920.42
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"CHARLOTTE STREET BRANCH",7911322.22
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"KABALA BRANCH",3883319.46
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"KAILAHUN BRANCH",1810885.50
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"WILKINSON ROAD BRANCH",4722461.48
"January 2022 Salary - Permanent Staff","NASSIT (5%)",124300000033,"JUBA BRANCH",9941997.96
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"HEAD OFFICE",320451409.88
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"SIAKA STEVENS STREET BRANCH",111032898.14
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"CLOCK TOWER BRANCH",14882135.32
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"BO BRANCH",35996625.78
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"KENEMA BRANCH",14860862.32
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"WELLINGTON BRANCH",16633673.44
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"WILBERFORCE STREET BRANCH",12955156.54
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"KOIDU BRANCH",11946585.26
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"MOYAMBA BRANCH",6916916.04
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"PUJEHUN BRANCH",9836998.86
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"CONGO CROSS BRANCH",37033881.36
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"MAKENI BRANCH",14835840.90
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"CHARLOTTE STREET BRANCH",15822644.46
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"KABALA BRANCH",7766638.92
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"KAILAHUN BRANCH",6095022.54
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"WILKINSON ROAD BRANCH",9444923.06
"January 2022 Salary - Permanent Staff","NASSIT 10% (Deduc)",124300000032,"JUBA BRANCH",19883995.92
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"HEAD OFFICE",320451409.88
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"SIAKA STEVENS STREET BRANCH",111032898.14
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"CLOCK TOWER BRANCH",14882135.32
"January 2022 Salary - Permanent Staff","NASSIT 10% (Payt)",143000000001,"BO BRANCH",35996625.78
